iter	MultiClass
0	0.09084519588
1	0.04682694099
2	0.02943951334
3	0.01914457412
4	0.01362674272
5	0.01025223534
6	0.008328507797
7	0.006890176468
8	0.004636107276
9	0.004221635847
10	0.003976474817
11	0.003764152365
12	0.003622491558
13	0.003136825147
14	0.002917415036
15	0.002839450963
16	0.002774052803
17	0.002726031805
18	0.002660409966
19	0.002628574849
20	0.00185554846
21	0.0018326398
22	0.001326789316
23	0.001303604687
24	0.001252101416
25	0.001199537193
26	0.001188994297
27	0.001180070352
28	0.001141912804
29	0.001128892298
30	0.001106434835
31	0.001098753834
32	0.00109074604
33	0.001086219735
34	0.0008292456939
35	0.0007912946252
36	0.0007758562572
37	0.0007651230319
38	0.0007598380399
39	0.0007551551187
40	0.0007488815944
41	0.000736934969
42	0.0007339426935
43	0.0005791722295
44	0.0005708374058
45	0.0005673565046
46	0.0005592541205
47	0.0005562690918
48	0.0005542349683
49	0.0005514561398
50	0.0005444439048
51	0.0005429490972
52	0.0005424378795
53	0.0005404166257
54	0.0005373983656
55	0.0005369383618
56	0.0005349156773
57	0.0005344814796
58	0.0005321830463
59	0.0005263679818
60	0.0005250986042
61	0.0004258148195
62	0.0004245962838
63	0.0004235995272
64	0.0004185771582
65	0.0004172193806
66	0.0004159878479
67	0.0004151715606
68	0.0004144292075
69	0.0004131515971
70	0.0004128593851
71	0.0004124325559
72	0.0004112748324
73	0.000410287654
74	0.0004092620411
75	0.0004057539325
76	0.0004046110892
77	0.0004036432685
78	0.0004030159873
79	0.0004018414851
80	0.0004009107588
81	0.0003363727775
82	0.0003349828806
83	0.0003319781722
84	0.0003317579544
85	0.0003315701014
86	0.0003289282772
87	0.0002837697852
88	0.0002830585248
89	0.0002806721055
90	0.0002799485562
91	0.0002790792657
92	0.0002784049823
93	0.0002780869557
94	0.0002768152387
95	0.0002764667968
96	0.0002761606586
97	0.0002756846466
98	0.0002752474545
99	0.0002746266436
